source_id,source_page,row_id,row_slug,hmtc_row,row_label,fda_category_scope,source_analyte,metal_species,basis,n,detected_n,lod_n,substitution_rule,fiscal_year_min,fiscal_year_max,p10_ppb,p50_ppb,p90_ppb,p95_ppb,p100_ppb,unit,statistic_scope,evidence_fitness_verdict,review_state,row_fit,category1_related_rows,notes
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r05,baby-cereals-dry-non-rice,5,"Baby cereals and grain products, dry (non-rice)",Dry Infant Cereals,Cd,Cd,as_sold,25,24,1,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2015,2024,4.6,15,27.4,33.3,62.9,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (non-rice)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r05,baby-cereals-dry-non-rice,5,"Baby cereals and grain products, dry (non-rice)",Dry Infant Cereals,Pb,Pb,as_sold,25,21,4,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2015,2024,0,4,8,8.8,9.9,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (non-rice)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r05,baby-cereals-dry-non-rice,5,"Baby cereals and grain products, dry (non-rice)",Dry Infant Cereals,As,tAs,as_sold,25,21,4,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2015,2024,0,12.9,37.8,40.4,54.8,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (non-rice)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-non-rice,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r05,baby-cereals-dry-non-rice,5,"Baby cereals and grain products, dry (non-rice)",Dry Infant Cereals,Hg,tHg,as_sold,9,0,9,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2021,2024,0,0,0,0,0,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (non-rice)",EF-3,machine_extracted,direct_category1_row,baby-cereals-dry-non-rice,"Small or narrowed source subset; supports source-scope context but not direct threshold selection without review."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r06,baby-cereals-dry-rice-based,6,"Baby cereals and grain products, dry (rice-based)",Dry Infant Cereals,Cd,Cd,as_sold,252,212,40,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2010,2024,0,10.1,22,26.8,40.5,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (rice-based)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-rice-based,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r06,baby-cereals-dry-rice-based,6,"Baby cereals and grain products, dry (rice-based)",Dry Infant Cereals,Pb,Pb,as_sold,256,196,60,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2024,0,5,19.2,21,32,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (rice-based)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-rice-based,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r06,baby-cereals-dry-rice-based,6,"Baby cereals and grain products, dry (rice-based)",Dry Infant Cereals,As,tAs,as_sold,253,252,1,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2010,2024,79.7,115,135,141,348,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (rice-based)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-rice-based,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r06,baby-cereals-dry-rice-based,6,"Baby cereals and grain products, dry (rice-based)",Dry Infant Cereals,Hg,tHg,as_sold,64,22,42,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2010,2024,0,0,2.1,2.5,4,ppb,"FDA FY2009-FY2024 baby/young-child compliance samples: Baby cereals and grain products, dry (rice-based)",EF-2,machine_extracted,direct_category1_row,baby-cereals-dry-rice-based,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r07,fruit-purees,7,Fruit purees,Fruits,Cd,Cd,as_sold,39,17,22,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,0,2.2,2.4,4,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Fruit purees,EF-2,machine_extracted,direct_category1_row,fruit-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
fda2024-toxic-elements-baby-food-compliance-2009-2024,wiki/sources/fda2024-toxic-elements-baby-food-compliance-2009-2024.md,hmtc_c1_r07,fruit-purees,7,Fruit purees,Fruits,Pb,Pb,as_sold,44,26,18,"<LOD and ND treated as 0 for lower-bound percentile summary; detected values preserved as reported",2009,2023,0,1,2.4,4.5,8,ppb,FDA FY2009-FY2024 baby/young-child compliance samples: Fruit purees,EF-2,machine_extracted,direct_category1_row,fruit-purees,"Reconstructable sample-level subset; machine extracted and needs review before standards use."
