source_id,product_slug,metal_species,n,detected_n,lod_n,basis,min_detected_ug_kg,max_detected_ug_kg,p10_ug_kg,p50_ug_kg,p90_ug_kg,p95_ug_kg,evidence_fitness,hmtc_decision_role
fda2026-infant-formula-product-testing-results,infant-formula-concentrated-liquid-non-soy,tAs,8,8,0,prepared_for_feeding; <LOD=0 lower-bound,0.2,0.4,0.2,0.35,0.4,0.4,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
fda2026-infant-formula-product-testing-results,infant-formula-concentrated-liquid-non-soy,Pb,8,8,0,prepared_for_feeding; <LOD=0 lower-bound,0.05,0.4,0.078,0.35,0.4,0.4,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
fda2026-infant-formula-product-testing-results,infant-formula-concentrated-liquid-non-soy,Cd,8,4,4,prepared_for_feeding; <LOD=0 lower-bound,0.08,0.5,0,0.04,0.43,0.465,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
fda2026-infant-formula-product-testing-results,infant-formula-concentrated-liquid-non-soy,tHg,8,0,8,prepared_for_feeding; <LOD=0 lower-bound,,,0,0,0,0,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
fda2026-infant-formula-product-testing-results,infant-formula-concentrated-liquid-soy-based,tAs,3,3,0,prepared_for_feeding; <LOD=0 lower-bound,0.6,0.7,0.6,0.6,0.68,0.69,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
fda2026-infant-formula-product-testing-results,infant-formula-concentrated-liquid-soy-based,Pb,3,3,0,prepared_for_feeding; <LOD=0 lower-bound,0.3,0.4,0.3,0.3,0.38,0.39,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
fda2026-infant-formula-product-testing-results,infant-formula-concentrated-liquid-soy-based,Cd,3,3,0,prepared_for_feeding; <LOD=0 lower-bound,1.3,1.5,1.3,1.3,1.46,1.48,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
fda2026-infant-formula-product-testing-results,infant-formula-concentrated-liquid-soy-based,tHg,3,1,2,prepared_for_feeding; <LOD=0 lower-bound,0.05,0.05,0,0,0.04,0.045,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
fda2026-infant-formula-product-testing-results,infant-formula-powder-non-soy,tAs,240,222,18,prepared_for_feeding; <LOD=0 lower-bound,0.1,4.7,0.2,0.4,1.4,2.015,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
fda2026-infant-formula-product-testing-results,infant-formula-powder-non-soy,Pb,240,179,61,prepared_for_feeding; <LOD=0 lower-bound,0.1,0.6,0,0.2,0.4,0.5,EF-2 reconstructable distribution,occurrence evidence; no matched FDA formula action level loaded
