source_id,sample_index,product_category,country_of_origin,sample_description,total_as_raw,inorganic_as_raw,inorganic_as_ppb,inorganic_as_censoring,dma_raw,mma_raw,inorganic_arsenic_mcg_per_serving,serving_size_g_or_ml,blend_scope,product_slug,source_product_label,basis,unit,notes
fda2016-infant-toddler-foods-inorganic-arsenic,1,Juice - Grape,Unknown,100% Concord Grape Juice from Concentrate,1.3,NS,,not_speciated,NS,NS,,237,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,2,Juice - Grape,Unknown,100% Juice Concord Grape Juice Made from Fresh Pressed Organic Concord Grapes,3.4,NS,,not_speciated,NS,NS,,240,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,3,Juice - Grape,USA,100% Apple Grape Juice Blend of Concentrates with Other Natural Flavors,TR (3.7),2.6,2.6,quantified,TR (0.7),< LOD,0.6,240,apple_grape_blend,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,4,Juice - Grape,USA,100 % Organic Grape Juice,TR (6.7),3.0,3,quantified,1.4,< LOD,0.7,240,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,5,Juice - Grape,Unknown,100% Grape Juice from Concentrate with Added Vitamin C Made with Concord Grapes,7.1,NS,,not_speciated,NS,NS,,296,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,6,Juice - Grape,USA,100% Pure Juice from Concentrate Pressed from Fresh Whole Fruit,< LOD,4.6,4.6,quantified,< LOD,< LOD,1.1,237,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,7,Juice - Grape,USA,All Natural 100% Juice Grape Flavored Juice Blend from Concentrate with Other Natural Flavors and Added Ingredients,< LOD,4.8,4.8,quantified,< LOD,< LOD,1.1,240,grape_blend,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,8,Juice - Grape,USA,All Natural 100% Juice Fruit Punch Flavored Juice Blend from Concentrate with Other Natural Flavors and Added Ingredients,< LOD,5.1,5.1,quantified,< LOD,< LOD,1.2,240,fruit_punch_grape_blend,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,9,Juice - Grape,USA,100% No Sugar Added Grape Juice from Concentrate with added Ingredient,TR (8.0),5.4,5.4,quantified,TR (1.0),< LOD,1.3,240,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,10,Juice - Grape,USA,100% White Grape Juice from Concentrate with Added Ingredients,TR (11.0),5.5,5.5,quantified,TR (0.9),< LOD,1.3,240,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,11,Juice - Grape,USA,100% Juice White Grape from Concentrate with added Ingredient,TR (7.7),5.6,5.6,quantified,TR (1.0),< LOD,1.3,240,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,12,Juice - Grape,USA,100% Juice Grape from Concentrate with added Vitamin C,TR (9.3),6.0,6,quantified,TR (1.1),< LOD,1.4,240,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,13,Juice - Grape,USA,100% No Sugar Added White Grape Juice from Concentrate with added Ingredient,TR (8.9),6.2,6.2,quantified,TR (1.2),< LOD,1.5,240,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,14,Juice - Grape,USA,100% Juice Cranberry Concord Grape No Sugar Added Flavored Blend of 4 Juices from Concentrate with Added Ingredients,TR (8.4),6.4,6.4,quantified,TR (0.5),< LOD,1.5,240,cranberry_grape_blend,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,15,Juice - Grape,USA,100% Grape Juice from Concentrate with added Ingredient,TR (8.8),6.5,6.5,quantified,TR (0.9),< LOD,1.6,240,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,16,Juice - Grape,Unknown,Organic White Grape Juice from Concentrate,10.9,7.0,7,quantified,TR (1.9),TR (0.3),1.7,240,grape_or_white_grape,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
fda2016-infant-toddler-foods-inorganic-arsenic,17,Juice - Grape,USA,100% Juice Apple Grape Flavored Juice Blend from 3 Concentrates with Added Ingredients,TR (8.5),7.1,7.1,quantified,TR (0.7),< LOD,1.7,240,apple_grape_blend,fruit-juices-non-apple,FDA 2016 grape and grape-containing juice category,ready_to_drink_juice_1_ml_1_g,ppb,FDA full analytical results table; NS means not speciated. Percentile summary uses quantified inorganic arsenic cells only and does not substitute total arsenic for iAs.
