source_id,tds_food_number,tds_food_description,ingredient_slug,ingredient_label,analyte,analyte_slug,metal_species,units_original,normalized_unit,n,reported_zero_n,min_ppb_equivalent,p10_ppb_equivalent,p50_ppb_equivalent,p90_ppb_equivalent,p95_ppb_equivalent,max_ppb_equivalent,reporting_limit_min_ppb_equivalent,reporting_limit_max_ppb_equivalent,basis,review_state,notes
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Arsenic (total),arsenic-total,tAs,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Cadmium,cadmium,Cd,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Calcium,calcium,,ppm,ppb_equivalent,27,0,1000000,1100000,1200000,1240000,1300000,1300000,1000,1000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Chromium,chromium,Cr,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,25,25,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Copper,copper,,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,50,50,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Iodine,iodine,,ppb,ppb_equivalent,27,0,170,210,290,404,417,470,3,3,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Iron,iron,,ppb,ppb_equivalent,27,11,0,0,150,170,184,230,150,150,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Lead,lead,Pb,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,1,1,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Magnesium,magnesium,,ppm,ppb_equivalent,27,0,89000,100000,110000,110000,117000,120000,1000,1000,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
fda2022-tds-elements-fy2018-fy2020,1,"Milk, whole, fluid",whole-milk,Whole milk,Manganese,manganese,,ppb,ppb_equivalent,27,27,0,0,0,0,0,0,25,25,FDA TDS prepared food/composite; reported concentration values retained,machine_extracted_reviewed_schema,
