product_slug,source_id,source_title,local_pdf_path,packet_text_path,prompt_path,extraction_status,action_needed
infant-formula-powder-non-soy,burrell2010-aluminium-in-infant-formulas,There is (still) too much aluminium in infant formulas,raw/Digest/Added Manually /1471-2431-10-63.pdf,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/002-burrell2010-aluminium-in-infant-formulas.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/burrell2010-aluminium-in-infant-formulas.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
infant-formula-powder-non-soy,chekri2019-french-infant-toddler-tds-trace-elements,Trace element contents in foods from the first French Total Diet Study on infants and toddlers,raw/Digest/Added Manually /1-s2.0-S0889157518301868-am.pdf,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/003-chekri2019-french-infant-toddler-tds-trace-elements.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/chekri2019-french-infant-toddler-tds-trace-elements.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
infant-formula-powder-non-soy,chuchu2013-aluminium-in-infant-formulas,The aluminium content of infant formulas remains too high,raw/Digest/Added Manually /1471-2431-13-162.pdf,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/004-chuchu2013-aluminium-in-infant-formulas.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/chuchu2013-aluminium-in-infant-formulas.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
infant-formula-powder-non-soy,collado-lopez2025-heavy-metals-baby-food-formula,Concentrations of Heavy Metals in Processed Baby Foods and Infant Formulas Worldwide: A Scoping Review,raw/studies/nuaf138.pdf,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/006-collado-lopez2025-heavy-metals-baby-food-formula.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/collado-lopez2025-heavy-metals-baby-food-formula.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
infant-formula-powder-non-soy,dabeka1987-canada-infant-formula-lead-cadmium,"Lead, cadmium, and fluoride levels in market milk and infant formulas in Canada",raw/studies/dabeka1987.pdf,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/007-dabeka1987-canada-infant-formula-lead-cadmium.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/dabeka1987-canada-infant-formula-lead-cadmium.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
infant-formula-powder-non-soy,gardener2019-lead-cadmium-infant-formula-baby-food,Lead and cadmium contamination in a large sample of United States infant formulas and baby foods,raw/studies/gardener2019.pdf,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/009-gardener2019-lead-cadmium-infant-formula-baby-food.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/gardener2019-lead-cadmium-infant-formula-baby-food.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
infant-formula-powder-non-soy,jackson2012-arsenic-organic-foods-brown-rice-syrup,"Arsenic, Organic Foods, and Brown Rice Syrup",raw/markdown/FM_3346791/FM_3346791.md,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/010-jackson2012-arsenic-organic-foods-brown-rice-syrup.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/jackson2012-arsenic-organic-foods-brown-rice-syrup.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
infant-formula-powder-non-soy,marques2021-trace-elements-milks-plant-based-drinks,Essential and Non-essential Trace Elements in Milks and Plant-Based Drinks,raw/markdown/FM_9439980_Essential_and_Non-essential_Trace_Elements_in_Milks_and_Plan/FM_9439980_Essential_and_Non-essential_Trace_Elements_in_Milks_and_Plan.md,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/011-marques2021-trace-elements-milks-plant-based-drinks.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/marques2021-trace-elements-milks-plant-based-drinks.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
infant-formula-powder-non-soy,meli2024-chemical-characterization-baby-food-italy,Chemical characterization of baby food consumed in Italy,raw/studies/FM_10883532_Chemical_characterization_of_baby_food_consumed_in_Italy.pdf,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/012-meli2024-chemical-characterization-baby-food-italy.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/meli2024-chemical-characterization-baby-food-italy.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
infant-formula-powder-non-soy,pandelova2012-eu-baby-food-formula-elements,"Ca, Cd, Cu, Fe, Hg, Mn, Ni, Pb, Se, and Zn contents in baby foods from the EU market: Comparison of assessed infant intakes with the present safety limits for minerals and trace elements",raw/studies/pandelova2012.pdf,data/evidence/local_reingest_packets/infant-formula-powder-non-soy/013-pandelova2012-eu-baby-food-formula-elements.txt,data/evidence/local_reingest_prompts/infant-formula-powder-non-soy/pandelova2012-eu-baby-food-formula-elements.prompt.md,needs_source_specific_parser_or_ai_review,"Extract source-stated rows into candidate values only; do not publish and do not infer p50/p90/p95."
