queue_order,bucket,raw_path,filename,extension,bytes,sha256,source_page_status,matched_source_pages,review_states,suggested_source_type,suggested_evidence_tier,ingest_priority,next_action
1,reports,raw/reports/2022_07_14_TDSElementsReport_1436.pdf,2022_07_14_TDSElementsReport_1436.pdf,pdf,2932818,ba1f8c1ed5a35fe4faef6e48db6c4490d88405739a4480e623fdbc3097e9f1ef,matched_by_raw_path,wiki/sources/fda-tds-elements-2018-2020.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
2,reports,raw/reports/2512.24601v2.pdf,2512.24601v2.pdf,pdf,8534230,5c2f94fd33cd88add37c985e03a7936630d7cb0da7d759e4bfc6172168521e65,rejected_unusable,,rejected,peer-reviewed,A,P9-out-of-scope,"do not ingest into Heavy Metal Index; file is an AI/LLM paper, not a heavy-metal food, toxicology, regulatory, ingredient, or standards source"
3,reports,raw/reports/9789241660648_eng.pdf,9789241660648_eng.pdf,pdf,2949350,00e91ef842f884c0d244f7a8b9d48ff62dc60fccff78bfadaf757e3daf1123b6,matched_by_raw_path,wiki/sources/jecfa-73rd-cadmium-2010.md,,gov-report,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
4,reports,raw/reports/a0691e.pdf,a0691e.pdf,pdf,1902185,cf57a5da308c84280b242f6728b02a32e6414c7cd2d33b291f2799cfa4b35301,matched_by_raw_path,wiki/sources/jecfa-food-additive-specs-compendium.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
5,reports,raw/reports/ATSDR_Arsenic_ToxProfile.pdf,ATSDR_Arsenic_ToxProfile.pdf,pdf,15655454,161703c547fd924a137337f3552c8b4b24255ba060db9d8380204ee202dcbcd7,matched_by_raw_path,wiki/sources/atsdr-arsenic-toxprofile-2007.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
6,reports,raw/reports/ATSDR_Cadmium_ToxProfile.pdf,ATSDR_Cadmium_ToxProfile.pdf,pdf,7992915,c0cf82387e85df3ee5642f231d2fb0f97755abaa82aad76fa38adcde746f2ecb,matched_by_raw_path,wiki/sources/atsdr-cadmium-toxprofile-2012.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
7,reports,raw/reports/ATSDR_Lead_ToxProfile.pdf,ATSDR_Lead_ToxProfile.pdf,pdf,9695093,a47206d2e1ea0b4b8ae16579c8bb0b00da2e0d71a90f1859c7b4f63bf166f66d,matched_by_raw_path,wiki/sources/atsdr-lead-toxprofile-2020.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
8,reports,raw/reports/ATSDR_Mercury_ToxProfile.pdf,ATSDR_Mercury_ToxProfile.pdf,pdf,11860640,8c25779ab30f45ac55bb6bd3d2bea45cad627344c3b40aab25e073e57d633890,matched_by_raw_path,wiki/sources/atsdr-mercury-toxprofile-2024.md,,gov-report,A,P0-report-regulatory-toxicology,"audit source page completeness, extract routeable claims/values if missing"
9,reports,raw/reports/ATSDR-2023-0004-0004_content.pdf,ATSDR-2023-0004-0004_content.pdf,pdf,13951473,6fa6e539b1d253c2fc24d756664cd41eeb55a04161f9d251375d451de17cc243,superseded_artifact,wiki/sources/atsdr-nickel-toxprofile-2024.md,superseded,gov-report,A,P8-superseded,do not create a separate public source page unless historical draft provenance is needed; final ATSDR nickel profile is represented by wiki/sources/atsdr-nickel-toxprofile-2024.md
10,reports,raw/reports/Biochem_Lead_Amin_2025.pdf,Biochem_Lead_Amin_2025.pdf,pdf,2388198,8bd1b99525900e107c39a8b8109740d2b47ac1d4b6854b8cae407e69dbed1a03,matched_by_raw_path,wiki/sources/tamagno-freeman-2025-pb-glutamate.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
11,reports,raw/reports/Biochem_Lead_Ordemann_2016.pdf,Biochem_Lead_Ordemann_2016.pdf,pdf,454673,c179bd8cc03a802fe67ee71542ca2f5738cb84a35555480ae8a275725194878e,matched_by_raw_path,wiki/sources/ordemann-austin-2016-pb-zinc-finger.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
12,reports,raw/reports/Biochem_Lead_Yeh_2020.pdf,Biochem_Lead_Yeh_2020.pdf,pdf,899923,ad126fd95c8f8cbf200af6e0657383293f636172fd749865767ea5ea5ea3d995,matched_by_raw_path,wiki/sources/huang-2020-pb-alad-threshold.md,,peer-reviewed,A,P1-report-context,"audit source page completeness, extract routeable claims/values if missing"
