source_id,contaminant_name,contaminant_slug,metal_species,region_name,food_category,food_name,food_code,food_state,result_basis_original,basis,unit_normalized,n_rows,n_numeric_or_censored,n_non_detect,n_left_censored,n_unit_review,n_value_review,n_year_review,year_min,year_max,p10_lower_bound_ug_kg,p50_lower_bound_ug_kg,p90_lower_bound_ug_kg,p95_lower_bound_ug_kg,max_lower_bound_ug_kg,lod_min_ug_kg,loq_min_ug_kg,loq_max_ug_kg,food_origins,analytical_qa_values
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,EURO,Alcoholic beverages,Beer and beer-like beverage,14.2.1,Cooked,As consumed,as_consumed,ug/kg,2,2,0,0,0,0,0,2007,2008,0,0,0,0,0,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,European Union,Alcoholic beverages,Beer and beer-like beverage,14.2.1,Cooked,As consumed,as_consumed,ug/kg,2,2,0,0,0,0,0,2007,2008,0,0,0,0,0,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,EURO,Alcoholic beverages,Liqueur and spirits,14.2.6,Cooked,As consumed,as_consumed,ug/kg,2,2,0,0,0,0,0,2007,2008,0,0,0,0,0,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,European Union,Alcoholic beverages,Liqueur and spirits,14.2.6,Cooked,As consumed,as_consumed,ug/kg,2,2,0,0,0,0,0,2007,2008,0,0,0,0,0,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,EURO,Alcoholic beverages,Wine,14.2.3,Cooked,As consumed,as_consumed,ug/kg,4,4,0,0,0,0,0,2007,2008,264.9,902,1179,1235,1290,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,European Union,Alcoholic beverages,Wine,14.2.3,Cooked,As consumed,as_consumed,ug/kg,4,4,0,0,0,0,0,2007,2008,264.9,902,1179,1235,1290,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,EURO,Alcoholic beverages,"Wine-like drinks (e.g. Cider, Perry)",14.2.2,Cooked,As consumed,as_consumed,ug/kg,2,2,0,0,0,0,0,2007,2008,797.2,1194,1591,1640,1690,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,European Union,Alcoholic beverages,"Wine-like drinks (e.g. Cider, Perry)",14.2.2,Cooked,As consumed,as_consumed,ug/kg,2,2,0,0,0,0,0,2007,2008,797.2,1194,1591,1640,1690,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,EURO,Cereals and cereal-based products,Bread & other cooked cereal products,CP 0179,Cooked,As consumed,as_consumed,ug/kg,48,48,0,0,0,0,0,2007,2009,0,2220,4292,6160,11100,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,European Union,Cereals and cereal-based products,Bread & other cooked cereal products,CP 0179,Cooked,As consumed,as_consumed,ug/kg,48,48,0,0,0,0,0,2007,2009,0,2220,4292,6160,11100,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,EURO,Cereals and cereal-based products,CEREAL GRAINS,GC 0080,Cooked,As consumed,as_consumed,ug/kg,6,6,0,0,0,0,0,2007,2008,0,885.5,981.5,1011,1040,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,European Union,Cereals and cereal-based products,CEREAL GRAINS,GC 0080,Cooked,As consumed,as_consumed,ug/kg,6,6,0,0,0,0,0,2007,2008,0,885.5,981.5,1011,1040,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,EURO,Cereals and cereal-based products,Maize,GC 0645,Cooked,As consumed,as_consumed,ug/kg,16,16,0,0,0,0,0,2007,2009,0,0,761.5,942.8,1470,236,472,472,Unknown,Officially accredited
who-gemsfood-heavy-metal-contaminants,Aluminium,aluminium,Al,European Union,Cereals and cereal-based products,Maize,GC 0645,Cooked,As consumed,as_consumed,ug/kg,16,16,0,0,0,0,0,2007,2009,0,0,761.5,942.8,1470,236,472,472,Unknown,Officially accredited
