product_slug,metal_species,extracted_n_total,extracted_n_display,source_count,basis_types,loaded_source_values_summary,regulatory_reference_values,source_pages,source_page_slugs,follow_up_queue_summary
infant-formula-powder,Pb,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
infant-formula-powder,Cd,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
infant-formula-powder,iAs,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
infant-formula-powder,tAs,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
infant-formula-powder,tHg,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
infant-formula-powder,MeHg,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
infant-formula-powder,Ni,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
infant-formula-powder,Al,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
infant-formula-powder,Sn,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
infant-formula-powder,Cr-VI,0,N pending,0,none,No structured values loaded for this metal/species.,FDA: no formula-specific regulatory value loaded for this metal/species. | EU: no formula-specific regulatory value loaded for this metal/species.,,,
