product_slug,metal_species,source_id,source_label,source_slug,source_page,source_product_label,basis,n,loaded_values_summary,mean_ppb,mean_lb_ppb,mean_ub_ppb,median_ppb,range_low_ppb,range_high_ppb,highest_ppb,censoring_status,censoring_limit_ppb,unit,row_fit,direct_distribution_detail,standards_use_note
infant-formula-powder-soy-based,Pb,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,Dabeka 2011,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,wiki/sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum.md,"Infant formula powder, soy-based, as consumed",prepared-for-feeding,15,median 1.27; highest 1.9 ppb,,,,1.27,,,1.9,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-soy-based,Pb,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Powder, Soy-based",prepared-for-feeding,38,highest 1.1 ppb,,,,,,,1.1,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-powder-soy-based,Pb,kazi2009-toxic-elements-in-infant-formulae,Kazi 2009,sources/kazi2009-toxic-elements-in-infant-formulae,wiki/sources/kazi2009-toxic-elements-in-infant-formulae.md,"Soy-based infant formula powder, pasted Table 3",as-sold,4,mean 109.4; range 98.6-119; highest 119 ppb,109.4,,,,98.6,119,119,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-soy-based,Cd,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,Dabeka 2011,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,wiki/sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum.md,"Infant formula powder, soy-based, as consumed",prepared-for-feeding,15,mean 1.56; median 1.39; highest 3.47 ppb,1.56,,,1.39,,,3.47,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-soy-based,Cd,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Powder, Soy-based",prepared-for-feeding,38,highest 1.4 ppb,,,,,,,1.4,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-powder-soy-based,Cd,kazi2009-toxic-elements-in-infant-formulae,Kazi 2009,sources/kazi2009-toxic-elements-in-infant-formulae,wiki/sources/kazi2009-toxic-elements-in-infant-formulae.md,"Soy-based infant formula powder, pasted Table 3",as-sold,4,mean 11.7; range 8.3-14.5; highest 14.5 ppb,11.7,,,,8.3,14.5,14.5,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-soy-based,tAs,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Powder, Soy-based",prepared-for-feeding,38,highest 2.2 ppb,,,,,,,2.2,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-powder-soy-based,tHg,fda2026-infant-formula-toxic-elements-special-survey,FDA 2026,sources/fda2026-infant-formula-toxic-elements-special-survey,wiki/sources/fda2026-infant-formula-toxic-elements-special-survey.md,"Infant Formula, Powder, Soy-based",prepared-for-feeding,38,highest 0.3 ppb,,,,,,,0.3,,,ppb,direct_category1_row,yes,"Distribution-capable input after row fit, basis, censoring, and clean-row review; not a standalone standard."
infant-formula-powder-soy-based,Al,burrell2010-aluminium-in-infant-formulas,Burrell 2010,sources/burrell2010-aluminium-in-infant-formulas,wiki/sources/burrell2010-aluminium-in-infant-formulas.md,"Soy-based formula powder, prepared estimate",as-sold,1,range 629-629; highest 629 ppb,,,,,629,629,629,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-soy-based,Al,chuchu2013-aluminium-in-infant-formulas,Chuchu 2013,sources/chuchu2013-aluminium-in-infant-formulas,wiki/sources/chuchu2013-aluminium-in-infant-formulas.md,"Soy-based formula products, prepared estimate",as-sold,2,range 656-756; highest 756 ppb,,,,,656,756,756,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-soy-based,Al,dabeka2011-canada-infant-formula-lead-cadmium-aluminum,Dabeka 2011,sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum,wiki/sources/dabeka2011-canada-infant-formula-lead-cadmium-aluminum.md,"Infant formula powder, soy-based, as consumed",prepared-for-feeding,15,mean 733; median 713; highest 1461 ppb,733,,,713,,,1461,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
infant-formula-powder-soy-based,Al,kazi2009-toxic-elements-in-infant-formulae,Kazi 2009,sources/kazi2009-toxic-elements-in-infant-formulae,wiki/sources/kazi2009-toxic-elements-in-infant-formulae.md,"Soy-based infant formula powder, pasted Table 3",as-sold,4,mean 2270; range 1740-2720; highest 2720 ppb,2270,,,,1740,2720,2720,,,ppb,literature_summary_row,no,Summary/range input for evidence context; not enough for aggregate distribution math alone.
